id;degree_name;institute;year_of_passing;marks;marks_type;grade;start_date;end_date;is_complete;degree_type;description;created_by;created_at;updated_by;updated_at
1;neural Cotton;morph;37581;95650;CGPA;SECOND;2021-08-08;2021-08-08;false;HSC;transmitter Wooden;Saudi;2021-08-08;Configurable software Regional;2021-08-09
2;Branding transform hub;Investment;39284;58372;PERCENTAGE;THIRD;2021-08-08;2021-08-08;true;PostGraduate;adapter Home;Central Vermont seize;2021-08-08;experiences loyalty;2021-08-09
3;Distributed Fantastic;Awesome Sleek;50171;58442;CGPA;FIRST;2021-08-08;2021-08-08;true;PostGraduate;Analyst;Versatile Analyst;2021-08-08;Metal;2021-08-08
4;XML e-services Account;Chips Iraq;17927;27137;PERCENTAGE;SECOND;2021-08-08;2021-08-09;true;PostGraduate;Concrete SSL reboot;Jamahiriya Small;2021-08-08;RAM redundant;2021-08-08
5;Directives;methodology;90630;65661;PERCENTAGE;SECOND;2021-08-09;2021-08-08;true;Doctrol;Egypt quantify Coordinator;Unbranded;2021-08-08;Shoes e-business Automotive;2021-08-08
6;Turkish digital mobile;Communications generating;29656;38397;CGPA;SECOND;2021-08-08;2021-08-08;false;Doctrol;Macedonia Buckinghamshire Buckinghamshire;FTP teal Tactics;2021-08-09;strategic Loan;2021-08-08
7;Pizza;Gorgeous connecting green;31774;54254;GPA;SECOND;2021-08-08;2021-08-08;true;Diploma;Rubber connecting;River Object-based;2021-08-08;Industrial Cambridgeshire Granite;2021-08-08
8;Interactions;Clothing Turkmenistan SQL;58982;39174;CGPA;SECOND;2021-08-08;2021-08-08;false;Associate;Rubber Division frame;transmit;2021-08-09;Table New payment;2021-08-08
9;Sleek back-end Rufiyaa;Creative;87441;399;GPA;SECOND;2021-08-08;2021-08-08;true;Diploma;Mexico Maryland;payment;2021-08-08;Mexico transmit models;2021-08-08
10;Jewelery Universal CSS;virtual Tools Facilitator;48662;82458;GPA;SECOND;2021-08-08;2021-08-08;false;HSC;withdrawal;parse;2021-08-08;networks;2021-08-09
