id;job_title;company_name;start_date;end_date;is_current;last_salary;description;created_by;created_at;updated_by;updated_at
1;Human Infrastructure Officer;Loan up;2021-08-08;2021-08-08;true;32177;Assurance Manager Shoes;Armenian Group;2021-08-08;Rubber;2021-08-09
2;National Configuration Specialist;Ergonomic;2021-08-09;2021-08-08;false;84704;Liaison Rustic;Applications Ohio bandwidth;2021-08-08;Berkshire Granite navigating;2021-08-08
3;Forward Data Agent;hacking;2021-08-09;2021-08-08;true;84391;Granite background bluetooth;Tala Dinar;2021-08-08;Games;2021-08-08
4;Customer Solutions Representative;1080p;2021-08-08;2021-08-08;true;79885;Orchestrator mesh Chips;Associate;2021-08-09;reinvent;2021-08-08
5;Dynamic Identity Technician;Branding;2021-08-09;2021-08-08;false;62449;cross-media;background Bike;2021-08-09;Public-key virtual;2021-08-08
6;Dynamic Quality Associate;Internal;2021-08-08;2021-08-09;true;92856;International;Afghanistan attitude-oriented compress;2021-08-08;Fish Berkshire compress;2021-08-08
7;Human Program Architect;Dirham infomediaries Kuwait;2021-08-09;2021-08-08;true;51769;bandwidth haptic cross-platform;Alabama;2021-08-08;Gorgeous;2021-08-09
8;International Marketing Analyst;Program Web Peru;2021-08-08;2021-08-08;false;27321;Usability next-generation;THX;2021-08-08;online Iowa synthesizing;2021-08-09
9;Principal Data Analyst;deposit;2021-08-08;2021-08-08;false;36789;line PNG;Specialist;2021-08-08;Small;2021-08-08
10;Chief Directives Engineer;Strategist;2021-08-09;2021-08-08;false;2360;Human Fork;firewall microchip secured;2021-08-09;Orchestrator Supervisor;2021-08-09
